,product name,Product price
0,Adsun Frameless 109 cm (43 inch) Full HD LED Smart TV,"₹17,999"
1,Adsun 60 cm (24 inch) HD Ready LED TV,"₹6,999"
2,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999"
3,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
4,Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,"₹22,999"
5,Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
6,Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹31,999"
7,Croma 98 cm (39 inch) HD Ready LED TV,"₹13,990"
8,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV,"₹26,999"
9,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,"₹16,999"
10,LG 80 cm (32 inch) HD Ready LED Smart TV,"₹17,499"
11,Croma 109 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹31,990"
12,acer Boundless series 80 cm (32 inch) HD Ready LED Smart Android TV with FRAMELESS DESIGN,"₹13,999"
13,Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame,"₹12,999"
14,Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹46,999"
15,Croma 127 cm (50 inch) Ultra HD (4K) LED Smart TV,"₹37,990"
16,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹34,499"
17,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999"
18,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999"
19,Croma 109 cm (43 inch) Full HD LED Smart Android TV,"₹31,990"
20,realme NEO 80 cm (32 inch) HD Ready LED Smart TV,"₹13,999"
21,Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
22,Coocaa 80 cm (32 inch) HD Ready LED Smart TV with Dobly Audio and Eye Care Technology,"₹10,499"
23,Croma 108 cm (43 inch) Full HD LED Smart TV,"₹28,990"
